,daily_return,total assets
141,-0.002223801690314311,111542.68825663884
142,0.00526465521905771,112129.92205251688
143,0.006186368421751315,112823.599061436
144,0.00044893090481507746,112874.24906184715
145,0.0009064060574081991,112976.55896492221
146,0.002812409319386189,113294.29529222734
147,-0.0059199338407176835,112623.60055956662
148,-0.011444056449324348,111334.72971723678
149,-0.0017881248255756505,111135.64932308064
150,0.00564895647982696,111763.44976946403
151,0.005542275220940819,112382.8735677282
152,3.785930728556198e-05,112387.12830547223
153,0.0012908067077533958,112532.19836455407
154,-0.006460325343201655,111805.20375153335
155,0.005552230593808028,112425.97202434955
156,-8.243949176486451e-05,112416.7036843547
157,0.0005084887007355017,112473.86630795212
158,-0.0016369692494253726,112289.75004744202
159,0.004511959194403158,112796.39681760581
160,-0.001818210073940276,112591.30927260788
